"","subject","predicate","object","direction","evidence","sentence","article","network"
"14536","FMNL1","interacts with","CSNK1E","right","positive","","","Pathway Commons"
"15730","CSNK1D","interacts with","MLLT1","right","positive","","","Pathway Commons"
"29277","PLXNA2","interacts with","MPP3","right","positive","","","Pathway Commons"
"21963","PRKAA1","interacts with","EPHA2","right","positive","","","Pathway Commons"
"10870","GRB2","interacts with","S100A6","right","positive","","","Pathway Commons"
"18577","PACSIN3","interacts with","LYN","right","positive","","","Pathway Commons"
"35271","TPM1","interacts with","ATP6V0D1","right","positive","","","Pathway Commons"
"25518","TSC22D1","interacts with","EXOC6","right","positive","","","Pathway Commons"
"24141","NLGN2","interacts with","PLXNA2","right","positive","","","Pathway Commons"
"2464","FGFR4","functional_interaction","SPRY4","right","positive","","","Functional Interaction"
"10930","GSK3A","interacts with","CSNK1E","right","positive","","","Pathway Commons"
"27058","TPM1","interacts with","RPS25","right","positive","","","Pathway Commons"
"6326","HK2","interacts with","RPL9","right","positive","","","Pathway Commons"
"38481","tyrosine kinase","receptor","EPHA4","right","positive","The oncogenic transcription factor Twist and the tyrosine kinase receptor EphA4 were expressed in total RNA from Sézary cells and the paired amplified mRNAs. ","PubMed:18480841","Medline Abstracts"
"9390","FN1","interacts with","TGFBI","right","positive","","","Pathway Commons"
"29031","PSMC4","interacts with","MDH1","right","positive","","","Pathway Commons"
"20630","PRMT5","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"36447","MAGI3","interacts with","VANGL2","right","positive","","","Pathway Commons"
"33830","STX1A","interacts with","CAMK2A","right","positive","","","Pathway Commons"
"21567","RPL12","interacts with","S100A6","right","positive","","","Pathway Commons"
"1339","COL6A2","functional_interaction","FN1","right","positive","","","Functional Interaction"
"9213","FN1","interacts with","CRB1","right","positive","","","Pathway Commons"
"9958","FOS","interacts with","PKNOX2","right","positive","","","Pathway Commons"
"4726","S100A11","functional_interaction","S100A6","right","positive","","","Functional Interaction"
"30337","UBE2L6","interacts with","NAMPT","right","positive","","","Pathway Commons"
"15690","CSNK1D","in same component","AZI1","right","positive","","","Pathway Commons"
"9621","FLNB","interacts with","HAT1","right","positive","","","Pathway Commons"
"20208","MDH1","interacts with","DPYSL2","right","positive","","","Pathway Commons"
"2581","FN1","functional_interaction","ITGAM","right","positive","","","Functional Interaction"
"11191","GORASP2","interacts with","TGFA","right","positive","","","Pathway Commons"
"8003","EP400","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"10409","DNAJA2","interacts with","CSNK1E","right","positive","","","Pathway Commons"
"36743","CDCP1","interacts with","TUBA1A","right","positive","","","Pathway Commons"
"21279","RPL31","interacts with","S100A6","right","positive","","","Pathway Commons"
"34157","STX1A","interacts with","TTC35","right","positive","","","Pathway Commons"
"17271","NOLC1","interacts with","MTHFD1","right","positive","","","Pathway Commons"
"4293","NFKB1","functional_interaction","TFPI2","right","positive","","","Functional Interaction"
"26812","TNFRSF14","interacts with","SRRM2","right","positive","","","Pathway Commons"
"35520","LYN","interacts with","LCP2","right","positive","","","Pathway Commons"
"6868","HNRNPH1","interacts with","SUCLG1","right","positive","","","Pathway Commons"
"2963","GRB10","functional_interaction","VEGFA","right","positive","","","Functional Interaction"
"13252","ITPR3","interacts with","BAT1","right","positive","","","Pathway Commons"
"22553","ACTN2","state change","HRAS","right","positive","","","Pathway Commons"
"17312","NOLC1","interacts with","MED31","right","positive","","","Pathway Commons"
"10871","GRB2","interacts with","SFN","right","positive","","","Pathway Commons"
"23592","RPS9","interacts with","ITPR3","right","positive","","","Pathway Commons"
"973","CEBPD","functional_interaction","IL1B","right","positive","","","Functional Interaction"
"4325","OAZ1","functional_interaction","ODC1","right","positive","","","Functional Interaction"
"10728","DYNC1I1","interacts with","PLXNA2","right","positive","","","Pathway Commons"
"7135","GJA1","interacts with","CSNK1D","right","positive","","","Pathway Commons"
"11793","HNRNPH1","interacts with","ARHGAP32","right","positive","","","Pathway Commons"
"30422","VEGFA","reacts with","GPC1","right","positive","","","Pathway Commons"
"38233","IRS-1","associated","PI3","right","positive","In MDA-MB-468 IRS-1 transfected cells, IGF-I caused increased IRS-1 associated PI3 kinase activity compared to parental cells, but at levels far below those observed in IGF-responsive MCF-7 cells. ","PubMed:10543935","Medline Abstracts"
"1241","COL27A1","functional_interaction","LAMB1","right","positive","","","Functional Interaction"
"31790","BAT3","interacts with","IER3","right","positive","","","Pathway Commons"
"33803","STX1A","interacts with","GPHN","right","positive","","","Pathway Commons"
"20274","MDH1","interacts with","LAMP2","right","positive","","","Pathway Commons"
"9085","CASK","interacts with","STX1A","right","positive","","","Pathway Commons"
"28400","TUBA4A","interacts with","PIK3R2","right","positive","","","Pathway Commons"
"3907","LAMB2","functional_interaction","PRNP","right","positive","","","Functional Interaction"
"34502","THY1","interacts with","TPM1","right","positive","","","Pathway Commons"
"16750","MYC","reacts with","PIM1","right","positive","","","Pathway Commons"
"31830","ACVR2B","interacts with","CSNK1D","right","positive","","","Pathway Commons"
"21284","APLP1","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"3681","ITGA2","functional_interaction","THBS2","right","positive","","","Functional Interaction"
"21394","UPF2","interacts with","MAP1LC3B","right","positive","","","Pathway Commons"
"16721","NCOA2","interacts with","DDX17","right","positive","","","Pathway Commons"
"3536","IL5RA","functional_interaction","IL8","right","positive","","","Functional Interaction"
"29597","PLCE1","interacts with","MCL1","right","positive","","","Pathway Commons"
"5267","ZNF273","functional_interaction","ZNF613","right","positive","","","Functional Interaction"
"21667","RHOA","interacts with","SDC4","right","positive","","","Pathway Commons"
"38270","SP-A","signals through","PI3","right","positive","Therefore, SP-A signals through PI3 kinase to increase SP-B transcription in type II pneumocytes by enhancing TTF-1 and HNF-3 activation of the SP-B promoter. ","PubMed:10867648","Medline Abstracts"
"15054","CSNK1E","interacts with","NQO2","right","positive","","","Pathway Commons"
"15609","CAMK2A","interacts with","CSNK1E","right","positive","","","Pathway Commons"
"24898","MAPKAP1","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"3663","ITGA2","functional_interaction","LIMS2","right","positive","","","Functional Interaction"
"14191","KIAA0802","interacts with","RPL24","right","positive","","","Pathway Commons"
"14553","FGB","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"19082","PPL","interacts with","SKP2","right","positive","","","Pathway Commons"
"16401","NOV","interacts with","DLL1","right","positive","","","Pathway Commons"
"21073","RPL14","interacts with","HIST1H1E","right","positive","","","Pathway Commons"
"35576","LYN","interacts with","ALPK3","right","positive","","","Pathway Commons"
"11036","HSPA5","interacts with","KIAA0802","right","positive","","","Pathway Commons"
"30256","INA","interacts with","CSNK1E","right","positive","","","Pathway Commons"
"11978","HNRNPH1","interacts with","TUBA3C","right","positive","","","Pathway Commons"
"31551","RPL13","interacts with","TPM1","right","positive","","","Pathway Commons"
"37758","SFN","induces","PTEN","right","positive","SFN induces PTEN expression and inhibits AKT phosphorylation in pancreatic cancer PANC-1 cells. ","PubMed:20642839,Other:1750-2187-5-10,DOI:10.1186/1750-2187-5-10,PubMed Central:2915986","Pubmed Open-Access Full Texts"
"31735","RPLP0","interacts with","CSNK1E","right","positive","","","Pathway Commons"
"26054","SRRM2","interacts with","VPS35","right","positive","","","Pathway Commons"
"23687","LRPAP1","reacts with","LRP8","right","positive","","","Pathway Commons"
"19120","PNMA2","interacts with","C20orf11","right","positive","","","Pathway Commons"
"20688","MCL1","interacts with","BID","right","positive","","","Pathway Commons"
"22301","ABL2","interacts with","KIAA0528","right","positive","","","Pathway Commons"
"21140","RPL26","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"4287","NFIC","functional_interaction","TFPI2","right","positive","","","Functional Interaction"
"30154","PRNP","interacts with","SYNPO","right","positive","","","Pathway Commons"
"25818","SRRM2","interacts with","NTRK1","right","positive","","","Pathway Commons"
"15263","LPAR2","interacts with","DNAH9","right","positive","","","Pathway Commons"
"7642","DERL1","interacts with","PPBP","right","positive","","","Pathway Commons"
"19905","PPARG","interacts with","PRNP","right","positive","","","Pathway Commons"
"35969","MED25","interacts with","AFF4","right","positive","","","Pathway Commons"
"31539","RPL14","interacts with","PRNP","right","positive","","","Pathway Commons"
"27760","TOP1","interacts with","BTBD2","right","positive","","","Pathway Commons"
"35062","TPM1","interacts with","YWHAQ","right","positive","","","Pathway Commons"
"17830","CSNK1E","interacts with","NME1","right","positive","","","Pathway Commons"
"12451","HIST1H1E","interacts with","SKA2","right","positive","","","Pathway Commons"
"5738","CKAP4","interacts with","EFNB1","right","positive","","","Pathway Commons"
"5874","CNN1","interacts with","TPM1","right","positive","","","Pathway Commons"
"30948","VAV2","interacts with","FLNB","right","positive","","","Pathway Commons"
"13862","ITGA2","interacts with","ADRA1B","right","positive","","","Pathway Commons"
"13384","JUNB","interacts with","MAPK8","right","positive","","","Pathway Commons"
"5573","BDH1","interacts with","PRNP","right","positive","","","Pathway Commons"
"27266","ACTN1","interacts with","HK2","right","positive","","","Pathway Commons"
"29515","PLXNA2","interacts with","SRC","right","positive","","","Pathway Commons"
"7835","CLMN","interacts with","DNAJC6","right","positive","","","Pathway Commons"
"31709","RPH3A","interacts with","STX1A","right","positive","","","Pathway Commons"
"29920","PRNP","interacts with","MAG","right","positive","","","Pathway Commons"
"16619","NKTR","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"14737","KLF5","interacts with","PRKCA","right","positive","","","Pathway Commons"
"3288","HRAS","functional_interaction","RIN1","right","positive","","","Functional Interaction"
"21532","PTX3","interacts with","C1QC","right","positive","","","Pathway Commons"
"20994","ANAPC4","interacts with","TOR1AIP1","right","positive","","","Pathway Commons"
"35058","TPM1","interacts with","NLGN2","right","positive","","","Pathway Commons"
"30020","PRNP","interacts with","PDE10A","right","positive","","","Pathway Commons"
"30716","TXNL4A","in same component","HNRNPH1","right","positive","","","Pathway Commons"
"30732","UBE3C","interacts with","TOP1","right","positive","","","Pathway Commons"
"1128","COL12A1","functional_interaction","LAMA3","right","positive","","","Functional Interaction"
"7599","DDX20","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"22132","MYH11","interacts with","PRNP","right","positive","","","Pathway Commons"
"2045","EFNB1","functional_interaction","HCK","right","positive","","","Functional Interaction"
"10858","GRB2","interacts with","EFNB1","right","positive","","","Pathway Commons"
"27367","TBRG4","interacts with","EFNB1","right","positive","","","Pathway Commons"
"14584","GABBR1","interacts with","PRNP","right","positive","","","Pathway Commons"
"23381","RPS14","interacts with","HIST1H1E","right","positive","","","Pathway Commons"
"23728","CCDC101","interacts with","SFN","right","positive","","","Pathway Commons"
"22905","S100A6","interacts with","RPLP2","right","positive","","","Pathway Commons"
"32476","ATP1A3","interacts with","PRNP","right","positive","","","Pathway Commons"
"13844","ITGA2","interacts with","KIAA1712","right","positive","","","Pathway Commons"
"12854","KIAA0528","interacts with","FGFR1","right","positive","","","Pathway Commons"
"18947","APOA1","interacts with","MAP7D1","right","positive","","","Pathway Commons"
"25459","SOCS1","reacts with","GRB2","right","positive","","","Pathway Commons"
"23760","SIPA1L1","interacts with","SFN","right","positive","","","Pathway Commons"
"13594","KRT17","interacts with","SFN","right","positive","","","Pathway Commons"
"36324","VPS33A","interacts with","PRNP","right","positive","","","Pathway Commons"
"21027","RBM23","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"322","ARHGAP25","functional_interaction","RHOD","right","positive","","","Functional Interaction"
"17757","CSNK1E","interacts with","ENO1","right","positive","","","Pathway Commons"
"5342","ZNF273","functional_interaction","ZNF74","right","positive","","","Functional Interaction"
"4620","PRICKLE2","functional_interaction","VANGL2","right","positive","","","Functional Interaction"
"38582","MYD88","associates with","P85","right","positive","Furthermore, we show that MyD88 associates with p85 in response to flagellin. ","PubMed:16644730","Medline Abstracts"
"34620","MDC1","interacts with","NAV3","right","positive","","","Pathway Commons"
"23543","RPS7","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"20010","PLS3","interacts with","TPM1","right","positive","","","Pathway Commons"
"27485","TNFRSF1B","interacts with","SERPINB3","right","positive","","","Pathway Commons"
"11530","HNRNPH1","interacts with","DDX6","right","positive","","","Pathway Commons"
"37456","CAV2","reacts with","HRAS","right","positive","","","Pathway Commons"
"32207","BCL6","interacts with","ZBTB7A","right","positive","","","Pathway Commons"
"7945","EXOSC8","interacts with","ZFP36","right","positive","","","Pathway Commons"
"30008","PRNP","interacts with","ACTN1","right","positive","","","Pathway Commons"
"4924","TBX2","functional_interaction","TBX3","right","positive","","","Functional Interaction"
"27503","TOP1","interacts with","DDX3X","right","positive","","","Pathway Commons"
"21307","HRAS","interacts with","DGKZ","right","positive","","","Pathway Commons"
"18652","PIK3R1","in same component","EPHA2","right","positive","","","Pathway Commons"
"18063","CSNK1E","interacts with","SLC12A5","right","positive","","","Pathway Commons"
"8556","DUT","interacts with","S100A6","right","positive","","","Pathway Commons"
"22435","NME2","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"11477","HNRNPH1","in same component","POLR2F","right","positive","","","Pathway Commons"
"23152","SFN","interacts with","ARHGAP11A","right","positive","","","Pathway Commons"
"35356","MAPK15","interacts with","CSNK1D","right","positive","","","Pathway Commons"
"28119","TUBA4A","in same component","CDK1","right","positive","","","Pathway Commons"
"17637","PRKACA","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"37841","SOCS1","inhibited","GAS","right","positive","As a positive control, overexpression of SOCS1 inhibited GAS activity. ","DOI:10.1084/jem.20080124,PubMed:18490491,PubMed Central:2413025,Other:20080124","Pubmed Open-Access Full Texts"
"19191","PNMA2","interacts with","PPP2R1A","right","positive","","","Pathway Commons"
"13595","KRT17","interacts with","TPM1","right","positive","","","Pathway Commons"
"36606","LSR","interacts with","SFN","right","positive","","","Pathway Commons"
"34812","TPM1","interacts with","CNP","right","positive","","","Pathway Commons"
"23070","SFN","interacts with","HDAC5","right","positive","","","Pathway Commons"
"25621","TSC22D1","interacts with","CENPF","right","positive","","","Pathway Commons"
"21815","RPL7A","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"33173","ANK2","interacts with","STX1A","right","positive","","","Pathway Commons"
"36356","MAPK3","interacts with","DUSP6","right","positive","","","Pathway Commons"
"14385","ITGB1","co control","SDC4","right","positive","","","Pathway Commons"
"28462","TUBA4A","interacts with","PSMA5","right","positive","","","Pathway Commons"
"30606","ABI1","interacts with","TPM1","right","positive","","","Pathway Commons"
"12809","JUN","metabolic catalysis","IL23A","right","positive","","","Pathway Commons"
"18998","LNPEP","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"30691","ACOX1","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"20128","MDH1","interacts with","HSPA1L","right","positive","","","Pathway Commons"
"17993","CSNK1E","interacts with","DDOST","right","positive","","","Pathway Commons"
"12025","HNRNPH1","interacts with","ARPC3","right","positive","","","Pathway Commons"
"21762","RPLP2","interacts with","NOLC1","right","positive","","","Pathway Commons"
"733","cblB","functional_interaction","LYN","right","positive","","","Functional Interaction"
"28083","TUBA4A","in same component","NEK2","right","positive","","","Pathway Commons"
"15426","KIF13B","interacts with","BCL6","right","positive","","","Pathway Commons"
"19173","PNMA2","interacts with","PAPPA","right","positive","","","Pathway Commons"
"19065","ANXA11","interacts with","S100A6","right","positive","","","Pathway Commons"
"30316","THBS1","interacts with","FN1","right","positive","","","Pathway Commons"
"18508","PDE4A","interacts with","CSNK1D","right","positive","","","Pathway Commons"
"35380","LYN","co control","CD19","right","positive","","","Pathway Commons"
"3172","HNRPDL","functional_interaction","TIA1","right","positive","","","Functional Interaction"
"8444","EPHA2","interacts with","ACVR1","right","positive","","","Pathway Commons"
"9582","FBXO22","interacts with","SKP2","right","positive","","","Pathway Commons"
"32329","BAK1","interacts with","SRRM2","right","positive","","","Pathway Commons"
"4597","PPARG","functional_interaction","PTHLH","right","positive","","","Functional Interaction"
"26647","THRAP3","interacts with","NOLC1","right","positive","","","Pathway Commons"
"2890","GNAI2","functional_interaction","VEGFA","right","positive","","","Functional Interaction"
"23813","RPP30","interacts with","TOP1","right","positive","","","Pathway Commons"
"12673","EXOC2","interacts with","PRNP","right","positive","","","Pathway Commons"
"16793","NAV3","interacts with","NR2F6","right","positive","","","Pathway Commons"
"14439","IL23A","metabolic catalysis","IL23R","right","positive","","","Pathway Commons"
"16319","GLTP","interacts with","MTHFD1L","right","positive","","","Pathway Commons"
"23298","RPS6","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"22934","S100A6","interacts with","S100B","right","positive","","","Pathway Commons"
"21228","RPL6","interacts with","PIAS1","right","positive","","","Pathway Commons"
"25249","SERPINB5","interacts with","MYO1C","right","positive","","","Pathway Commons"
"35524","LYN","interacts with","PPP1R12A","right","positive","","","Pathway Commons"
"23434","S100A13","interacts with","IL1A","right","positive","","","Pathway Commons"
"18059","CSNK1E","interacts with","RPL10A","right","positive","","","Pathway Commons"
"23315","POLR2B","reacts with","HNRNPH1","right","positive","","","Pathway Commons"
"6100","HK2","interacts with","GNB1","right","positive","","","Pathway Commons"
"33462","SFXN5","interacts with","STX1A","right","positive","","","Pathway Commons"
"16837","NAV3","interacts with","BRCA1","right","positive","","","Pathway Commons"
"4372","ODF2","functional_interaction","TUBA4A","right","positive","","","Functional Interaction"
"5865","CNOT1","interacts with","PPBP","right","positive","","","Pathway Commons"
"13424","HP","interacts with","SERPINB5","right","positive","","","Pathway Commons"
"30462","VEGFA","state change","KDR","right","positive","","","Pathway Commons"
"8124","EPHB4","interacts with","EPHA2","right","positive","","","Pathway Commons"
"10892","HNRNPD","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"1139","COL12A1","functional_interaction","LIMS2","right","positive","","","Functional Interaction"
"27407","TPM2","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"28078","TUBA4A","in same component","PRKAR2B","right","positive","","","Pathway Commons"
"22202","NDRG1","interacts with","A2M","right","positive","","","Pathway Commons"
"13455","HSPH1","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"35915","MED25","interacts with","DCD","right","positive","","","Pathway Commons"
"26171","PHB","interacts with","HK2","right","positive","","","Pathway Commons"
"10392","DCTN4","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"38643","CDK6","inhibits","RUNX1","right","positive","Cdk6 inhibits Runx1 activity by binding to the runt domain of Runx1, interfering with Runx1 DNA binding and Runx1-C/EBPalpha interaction. ","PubMed:17431401","Medline Abstracts"
"6661","HNRNPH1","interacts with","BCKDHA","right","positive","","","Pathway Commons"
"11932","HNRNPH1","interacts with","CTTN","right","positive","","","Pathway Commons"
"8192","EGFR","interacts with","EFNB1","right","positive","","","Pathway Commons"
"37060","CSN2","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"992","CEP164","functional_interaction","CSNK1D","right","positive","","","Functional Interaction"
"9234","FN1","interacts with","ST13","right","positive","","","Pathway Commons"
"18410","PABPC4","interacts with","TNRC6A","right","positive","","","Pathway Commons"
"36164","MFAP2","interacts with","LIN28A","right","positive","","","Pathway Commons"
"4936","TGFB1","functional_interaction","TGFB2","right","positive","","","Functional Interaction"
"7635","DHX9","interacts with","MFAP2","right","positive","","","Pathway Commons"
"17071","NOLC1","interacts with","PPM1B","right","positive","","","Pathway Commons"
"21541","RPL36","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"29197","PLXNA2","interacts with","GPD2","right","positive","","","Pathway Commons"
"31980","ATPAF1","interacts with","MCL1","right","positive","","","Pathway Commons"
"37299","CFH","interacts with","CDCP1","right","positive","","","Pathway Commons"
"10468","DYNLRB1","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"33477","SH3GL1","interacts with","DDX17","right","positive","","","Pathway Commons"
"37816","KLF5","function in","ESCS","right","positive","Then we addressed the specificity of Klf5 function in ESCs by demonstrating that Klf2 and Klf4 have nonredundant roles and that Klf5 targets in ESCs are different from the gene targets of this transcription factor in adult differentiated cells. ","PubMed:20875108,Other:1741-7007-8-128,DOI:10.1186/1741-7007-8-128,PubMed Central:2955566","Pubmed Open-Access Full Texts"
"13357","JUNB","interacts with","C19orf68","right","positive","","","Pathway Commons"
"16730","NAT8B","interacts with","TOP1","right","positive","","","Pathway Commons"
"7491","CTNNA1","interacts with","NOLC1","right","positive","","","Pathway Commons"
"23104","SFN","interacts with","IRS1","right","positive","","","Pathway Commons"
"13960","ITGAM","in same component","PLAUR","right","positive","","","Pathway Commons"
"9803","FLNB","interacts with","UACA","right","positive","","","Pathway Commons"
"28763","TUBA4A","interacts with","XRCC5","right","positive","","","Pathway Commons"
"2342","F12","functional_interaction","MMP14","right","positive","","","Functional Interaction"
"10108","FAM83A","interacts with","NEK9","right","positive","","","Pathway Commons"
"35007","TPM1","interacts with","LPPR4","right","positive","","","Pathway Commons"
"59","ACTB","functional_interaction","MMP14","right","positive","","","Functional Interaction"
"19077","PHB2","interacts with","TSC22D1","right","positive","","","Pathway Commons"
"17148","NOLC1","interacts with","SF3B3","right","positive","","","Pathway Commons"
"13540","HSPB1","interacts with","FLNB","right","positive","","","Pathway Commons"
"6255","HK2","interacts with","PSMA4","right","positive","","","Pathway Commons"
"19724","PPP1R15A","interacts with","SMARCB1","right","positive","","","Pathway Commons"
"1407","CREB1","functional_interaction","TGFB2","right","positive","","","Functional Interaction"
"30411","VEGFA","interacts with","YBX1","right","positive","","","Pathway Commons"
"25447","SOCS1","interacts with","UBASH3A","right","positive","","","Pathway Commons"
"37690","BAIAP2","interacts with","CSNK1E","right","positive","","","Pathway Commons"
"5349","ZNF273","functional_interaction","ZNF77","right","positive","","","Functional Interaction"
"12686","ETFB","interacts with","NDRG1","right","positive","","","Pathway Commons"
"9240","FN1","interacts with","FBLN2","right","positive","","","Pathway Commons"
"32527","DNAJC6","interacts with","CLASP2","right","positive","","","Pathway Commons"
"17199","NOLC1","interacts with","SSR4","right","positive","","","Pathway Commons"
"23345","MRPS21","interacts with","SRRM2","right","positive","","","Pathway Commons"
"33067","SNAP91","interacts with","CSNK1E","right","positive","","","Pathway Commons"
"1268","COL2A1","functional_interaction","SDC4","right","positive","","","Functional Interaction"
"33461","SFXN5","interacts with","DNAJC6","right","positive","","","Pathway Commons"
"32521","DNAJC6","interacts with","CNTN1","right","positive","","","Pathway Commons"
"10565","DDX17","interacts with","NCKAP1","right","positive","","","Pathway Commons"
"31507","ZNF281","interacts with","TOP1","right","positive","","","Pathway Commons"
"11837","HNRNPH1","interacts with","RPLP2","right","positive","","","Pathway Commons"
"38181","MCL","associated with","BCL6","right","positive","Although rearrangement of the BCL6 gene is the most frequent genetic change among diffuse lymphomas and some follicular lymphomas this is the first report of a patient with MCL associated with BCL6 rearrangement.","PubMed:9200999","Medline Abstracts"
"3699","ITGA5","functional_interaction","LAMA3","right","positive","","","Functional Interaction"
"28805","TUBA4A","interacts with","ATR","right","positive","","","Pathway Commons"
"15594","LRRC59","interacts with","EFNB1","right","positive","","","Pathway Commons"
"5387","ZNF273","functional_interaction","ZNF844","right","positive","","","Functional Interaction"
"36886","MXD1","in same component","SIN3B","right","positive","","","Pathway Commons"
"24722","ALDH9A1","interacts with","MDH1","right","positive","","","Pathway Commons"
"9565","FOXO3","metabolic catalysis","BCL6","right","positive","","","Pathway Commons"
"20042","PLK3","interacts with","PRNP","right","positive","","","Pathway Commons"
"18885","LAMP1","interacts with","HK2","right","positive","","","Pathway Commons"
"37498","CCNA1","interacts with","MYBL2","right","positive","","","Pathway Commons"
"37358","CDK8","interacts with","NOLC1","right","positive","","","Pathway Commons"
"37268","CCL20","interacts with","VCAN","right","positive","","","Pathway Commons"
"4436","PIAS1","functional_interaction","SMAD1","right","positive","","","Functional Interaction"
"17132","NOLC1","interacts with","RPL15","right","positive","","","Pathway Commons"
"19107","PRKDC","interacts with","PIAS1","right","positive","","","Pathway Commons"
"17415","NDRG1","interacts with","CNDP2","right","positive","","","Pathway Commons"
"15339","KRT33B","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"18431","PARP1","interacts with","TOP1","right","positive","","","Pathway Commons"
"6503","HNRNPH1","interacts with","COL1A1","right","positive","","","Pathway Commons"
"24551","SKP2","interacts with","SPRR2A","right","positive","","","Pathway Commons"
"1102","COL12A1","functional_interaction","ITGA2","right","positive","","","Functional Interaction"
"33867","STX1A","interacts with","MAP2","right","positive","","","Pathway Commons"
"37909","SOCS1","downregulates","p65","right","positive","SOCS1 downregulates p65 protein levels by ubiquitin-mediated degradation of p65 . ","DOI:10.1155/2010/470468,PubMed Central:2939392,PubMed:20862390","Pubmed Open-Access Full Texts"
"33266","ZNF773","interacts with","JUNB","right","positive","","","Pathway Commons"
"33199","ARPC5L","interacts with","PTPRE","right","positive","","","Pathway Commons"
"2451","FGFR2","functional_interaction","SDC2","right","positive","","","Functional Interaction"
"16667","MYD88","reacts with","MYD88","right","positive","","","Pathway Commons"
"23878","POLR2C","interacts with","MED25","right","positive","","","Pathway Commons"
"38521","FOS","expression by","CCK","left","positive","Capsaicin treatment destroys vagal afferent C fibers and markedly attenuates reduction of food intake and induction of hindbrain Fos expression by CCK. ","PubMed:15905220","Medline Abstracts"
"9980","FOS","interacts with","SPI1","right","positive","","","Pathway Commons"
"10857","GRB2","in same component","VEGFA","right","positive","","","Pathway Commons"
"12808","JUN","metabolic catalysis","IL8","right","positive","","","Pathway Commons"
"15270","LPAR2","interacts with","HDAC4","right","positive","","","Pathway Commons"
"26756","TRAF6","reacts with","IL1A","right","positive","","","Pathway Commons"
"16499","MYL6","interacts with","NOLC1","right","positive","","","Pathway Commons"
"26976","TPM1","interacts with","MYL6","right","positive","","","Pathway Commons"
"14080","IQGAP1","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"33777","STX1A","interacts with","EXOC7","right","positive","","","Pathway Commons"
"24855","SMC2","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"21787","RNPS1","reacts with","HNRNPH1","right","positive","","","Pathway Commons"
"6595","HNRNPH1","interacts with","CAMK2B","right","positive","","","Pathway Commons"
"9052","CTNND2","interacts with","PLXNA2","right","positive","","","Pathway Commons"
"3984","LRP8","functional_interaction","MAP1B","right","positive","","","Functional Interaction"
"5075","ZNF195","functional_interaction","ZNF273","right","positive","","","Functional Interaction"
"26338","PARK7","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"398","ATF1","functional_interaction","FOS","right","positive","","","Functional Interaction"
"1645","CSNK1E","functional_interaction","WNT3A","right","positive","","","Functional Interaction"
"25575","TSC22D1","interacts with","RPA3","right","positive","","","Pathway Commons"
"8859","ST13","interacts with","FN1","right","positive","","","Pathway Commons"
"6268","HK2","interacts with","PRDX4","right","positive","","","Pathway Commons"
"37771","STAT3","inhibition by","PI3","left","positive","(D) STAT3 may act as a constitutive FAS repressor, but FAS is de-repressed during UV stress which may involve STAT3 inhibition by PI3-kinase/Akt.","PubMed:15296508,Other:1478-811X-2-8,PubMed Central:509424,DOI:10.1186/1478-811X-2-8","Pubmed Open-Access Full Texts"
"30205","PRNP","interacts with","TPM3","right","positive","","","Pathway Commons"
"13031","IMPDH2","interacts with","S100A6","right","positive","","","Pathway Commons"
"20218","MDH1","interacts with","ERO1L","right","positive","","","Pathway Commons"
"9142","ZMPSTE24","interacts with","NOLC1","right","positive","","","Pathway Commons"
"4015","LYN","functional_interaction","PECAM1","right","positive","","","Functional Interaction"
"23199","SFN","interacts with","TNS4","right","positive","","","Pathway Commons"
"14655","NONO","interacts with","SRRM2","right","positive","","","Pathway Commons"
"13793","ITGA2","in same component","COL1A1","right","positive","","","Pathway Commons"
"17511","NQO2","interacts with","CSNK1E","right","positive","","","Pathway Commons"
"29511","PLXNA2","interacts with","STXBP5L","right","positive","","","Pathway Commons"
"31153","PTPRE","interacts with","TUBB4","right","positive","","","Pathway Commons"
"36281","MAP7D1","interacts with","PFDN5","right","positive","","","Pathway Commons"
